split,control,dataset,horizon,ordered_mse,control_mse,mse_gain,ordered_mae,control_mae,mae_gain
validation,GLOBAL_COMPRESSED,ETTm2,96,0.14902098778457867,0.2156540582932177,0.30898129641520705,0.2817703088124593,0.33513119461990537,0.15922387012634326
validation,GLOBAL_COMPRESSED,ETTm2,192,0.18103994925816855,0.23703752883843013,0.23623929870797267,0.3071589184304078,0.3485702240750903,0.11880333655740344
validation,GLOBAL_COMPRESSED,ETTm2,336,0.2225045203959861,0.26251471346738386,0.1524112402803237,0.3353028974565519,0.363168047398937,0.07672797797592436
validation,GLOBAL_COMPRESSED,ETTm2,720,0.29302416377597384,0.3176027390691969,0.07738779383721893,0.37926674040537034,0.39328751564025877,0.03565019146886236
validation,GLOBAL_COMPRESSED,Weather,96,0.4264797481989104,0.6699542336993747,0.3634195789106953,0.30969224491762737,0.49983598575705573,0.3804122677390566
validation,GLOBAL_COMPRESSED,Weather,192,0.48167480161738774,0.7064539525243971,0.3181794795029429,0.34706699375122313,0.5181446643102736,0.3301735641469548
validation,GLOBAL_COMPRESSED,Weather,336,0.542418879175943,0.7399447464348238,0.26694677975699277,0.3872755387472728,0.5337399114556864,0.27441150561320504
validation,GLOBAL_COMPRESSED,Weather,720,0.6142449807868433,0.7606316092153075,0.19245404300181715,0.42926642453228986,0.5379922473241412,0.20209551965224481
validation,POOLED_MEMORY,ETTh1,96,1.3114316867930549,1.467815719899677,0.10654200727412212,0.8296151168289638,0.8932780332508541,0.07126887044362387
validation,POOLED_MEMORY,ETTh1,192,1.572896381219228,1.5767872610262461,0.0024675997220358773,0.9063060006925038,0.9261128866956347,0.02138711844708458
validation,POOLED_MEMORY,ETTh1,336,1.7594608125232516,1.7039732754635972,-0.032563619311786425,0.9577513738554351,0.9647738073958831,0.007278839336862822
validation,POOLED_MEMORY,ETTh1,720,1.8545549105084131,1.8767519542149136,0.011827372102450242,0.9793074085598901,1.0098216927240766,0.030217497191877288
validation,POOLED_MEMORY,ETTh2,96,0.28015661310581935,0.416741127236968,0.3277442642551661,0.3856023695497286,0.47572205393087297,0.18943768453971999
validation,POOLED_MEMORY,ETTh2,192,0.34419348356979235,0.4730210802739575,0.27235064583073687,0.42220241469996317,0.5046935106317202,0.1634479029233082
validation,POOLED_MEMORY,ETTh2,336,0.44721428309979083,0.5454967399032749,0.18017056677719293,0.47662091092998476,0.5417216225546233,0.12017373668350159
validation,POOLED_MEMORY,ETTh2,720,0.7195389225369409,0.7342146722097246,0.019988363387801765,0.6051887746841188,0.6268817080391778,0.03460450843734497
validation,POOLED_MEMORY,ETTm1,96,0.49951186243976864,0.882045101196993,0.4336889783051929,0.4941526793298267,0.6698716900178364,0.2623174158671057
validation,POOLED_MEMORY,ETTm1,192,0.6086349338293076,0.9765672009615671,0.37676082789794574,0.541037841921761,0.7024529093787784,0.22978774135872895
validation,POOLED_MEMORY,ETTm1,336,0.740257427805946,1.0952601988299364,0.3241264234774887,0.5916597612050115,0.7402361680050286,0.2007148707694701
validation,POOLED_MEMORY,ETTm1,720,0.993336030036684,1.3249282776363311,0.25027184731177066,0.6776518840638418,0.8105649100409613,0.16397579556016414
validation,POOLED_MEMORY,ETTm2,96,0.14902098778457867,0.23912622637691952,0.3768103564278795,0.2817703088124593,0.34811804479076747,0.1905897639353506
validation,POOLED_MEMORY,ETTm2,192,0.18103994925816855,0.256398193094702,0.29391097857191023,0.3071589184304078,0.3587398621298018,0.14378369717032058
validation,POOLED_MEMORY,ETTm2,336,0.2225045203959861,0.2784622660299548,0.20095270512504265,0.3353028974565519,0.37154561889414883,0.0975458183182676
validation,POOLED_MEMORY,ETTm2,720,0.29302416377597384,0.32912671830919055,0.10969195912955625,0.37926674040537034,0.39885192939213343,0.04910390935456102
validation,POOLED_MEMORY,Weather,96,0.4264797481989104,0.6326619553424063,0.3258963264701241,0.30969224491762737,0.47400283103897456,0.3466447357733964
validation,POOLED_MEMORY,Weather,192,0.48167480161738774,0.6690372193143481,0.28004782437810516,0.34706699375122313,0.49439969564241076,0.2980032212595664
validation,POOLED_MEMORY,Weather,336,0.542418879175943,0.7108234905061268,0.2369148087808337,0.3872755387472728,0.5160730333825628,0.2495722238984206
validation,POOLED_MEMORY,Weather,720,0.6142449807868433,0.7478992679131725,0.17870626815728588,0.42926642453228986,0.531057916368757,0.19167681847677226
validation,ORDER_SHUFFLED,ETTh1,96,1.3114316867930549,1.6297953739052726,0.19533966791755156,0.8296151168289638,0.9703275014956793,0.14501535249677966
validation,ORDER_SHUFFLED,ETTh1,192,1.572896381219228,1.8633630403450556,0.1558830205583767,0.9063060006925038,1.036416002682277,0.1255383954445363
