dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,mean_mse_target_ratio,mean_mae_target_ratio,primary_joint_score,mse_lead_cells,mae_lead_cells,combined_lead_cells,validation_mean_mse_4h,trainable_parameters,near_tie_eligible,selected
Weather,H4L,Weather__h4l_rank32,h4l_rank32,0.21765798783848847,0.24861294592167704,1.0108013098558357,1.0185031475862198,1.0146522287210278,1,1,2,0.4874692480076134,2224389,False,False
Weather,H4L,Weather__h4l_rank64,h4l_rank64,0.21645746952955505,0.24829268172201507,1.006534841658106,1.0180573143236713,1.0122960779908885,1,1,2,0.4884783034885509,3254149,False,False
Weather,H4L,Weather__h4l_seq192_patch12,h4l_seq192_patch12,0.2278611934419268,0.2552474652034776,1.0570996531120374,1.0463040679865392,1.0517018605492883,0,0,0,0.5132956052988042,2567317,False,False
Weather,H4L,Weather__h4l_seq512_patch16,h4l_seq512_patch16,0.21699475901405046,0.24699415752490722,1.0067815606998878,1.011454479447252,1.0091180200735699,0,1,1,0.497909304595715,3354773,False,False
Weather,H4L,Weather__h4l_timealign_long_r192_lr5e5,h4l_timealign_long_r192_lr5e5,0.21855082838346812,0.25102526447121964,1.0143633542042894,1.0288451637754776,1.0216042589898835,0,0,0,0.4876230063325252,28565829,False,False
Weather,H4L,Weather__h4l_timealign_short_r64_wd1e3,h4l_timealign_short_r64_wd1e3,0.21755147027749225,0.2482542555816303,1.010367250605879,1.0167352079463212,1.0135512292761,1,1,2,0.488064085739103,12716101,False,False
Weather,H4L,Weather__h4l_wd0,h4l_wd0,0.21654233679566615,0.24834202403963931,1.0053997427368961,1.0176550524106607,1.0115273975737784,1,1,2,0.4877772159212904,4927509,False,False
Weather,H4L,Weather__h4l_wd1e3,h4l_wd1e3,0.21654194383536188,0.2483343459915473,1.0053985476116978,1.0176206458728352,1.0115095967422665,1,1,2,0.48777499433665994,4927509,False,False
Weather,H4L,Weather__h4l_wd5e2,h4l_wd5e2,0.2165722698808754,0.24829852875807873,1.0055270247206316,1.0174654328208164,1.0114962287707239,1,1,2,0.48782441326775516,4927509,False,False
Weather,H4L,Weather__h4l_wide_interaction,h4l_wide_interaction,0.22706172033375394,0.2537619574146487,1.0538919260815802,1.0404652985178204,1.0471786122997004,0,0,0,0.5109427722721612,6472901,False,False
Weather,H4M,Weather__h4m_anchor_ln0,h4m_anchor_ln0,0.21853006424414612,0.24942677134996555,1.0143168659919701,1.0214336078647581,1.0178752369283641,0,0,0,0.4874578293634667,4927253,False,False
Weather,H4M,Weather__h4m_seq1152_p36,h4m_seq1152_p36,0.21641933182155815,0.25034669790148034,1.007397278888536,1.027117983478608,1.017257631183572,1,1,2,0.48380194579284375,7286933,False,False
Weather,H4M,Weather__h4m_seq384_p12,h4m_seq384_p12,0.21815087965409158,0.2496088724422509,1.0119944691173337,1.0224110182456458,1.0172027436814899,0,0,0,0.504493668909362,2568341,False,False
Weather,H4M,Weather__h4m_seq512_p16_lr1e5,h4m_seq512_p16_lr1e5,0.21594112028039497,0.24725258200106084,1.001680811313695,1.012136198093486,1.0069085047035906,2,0,2,0.5003427683013595,3354773,False,False
