comparison,layer,metric,dataset,horizon,candidate_value,reference_value,gain_percent
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTh2,192,0.31493473078561707,0.317849164951986,0.9169236505023326
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTh2,336,0.34333873598542186,0.3478030012360058,1.283561451373072
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTh2,720,0.4105088285661169,0.4223166149268426,2.795955911602277
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTm2,96,0.17304287737859902,0.17858982895514358,3.1059728367497264
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTm2,192,0.23254646342731775,0.23886701108359387,2.646052976341795
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTm2,336,0.2873642296411532,0.2956126092039398,2.790266485925197
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mse,ETTm2,720,0.3694881450061676,0.3815559084737396,3.1627772495632978
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,Weather,96,0.1916156874860743,0.18762657696503768,-2.1260903362213757
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,Weather,192,0.23188150610588884,0.22909183015998072,-1.2177107948197152
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,Weather,336,0.27286576569004006,0.2693600927350798,-1.3014819379380427
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,Weather,720,0.3220964248842008,0.31924374022841195,-0.8935757530430521
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTm1,96,0.38647517707792295,0.3736177478822066,-3.4413325567633546
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTm1,192,0.407210946056066,0.3973603971008489,-2.4789961523812964
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTm1,336,0.42721043484146126,0.4169849528321138,-2.4522424466151937
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTm1,720,0.46187417960577504,0.4507117138919532,-2.4766309305415124
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTh1,96,0.5361332729119247,0.5417093951910052,1.0293567600234144
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTh1,192,0.5406139825788677,0.5440603210451754,0.6334478610178884
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTh1,336,0.5461057623897121,0.5490470585775967,0.5357093061393647
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTh1,720,0.5813984967631388,0.584662705978657,0.5583063845425618
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTh2,96,0.34741974372175727,0.3528786626767708,1.5469677065778842
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTh2,192,0.37314921834879233,0.37812031337718993,1.3146860542873617
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTh2,336,0.39601546023338136,0.4026329857179147,1.6435626784859658
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTh2,720,0.4427253235342772,0.45223108214762253,2.1019693224541225
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTm2,96,0.25930802172641,0.2640422773369039,1.792991508118691
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTm2,192,0.29852491197414394,0.3031570764840453,1.5279750562395722
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTm2,336,0.33427349542036827,0.33966758629212784,1.5880499315941266
order_fcmi_vs_order_shuffled,matched_mechanism_attribution,mae,ETTm2,720,0.3914023432158329,0.3986272447036684,1.8124454822967095
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,Weather,96,0.1538336327509359,0.14424723572475695,-6.645809868045638
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,Weather,192,0.19342007852230328,0.1878873166154309,-2.9447234685866963
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,Weather,336,0.2431521033024491,0.24056500920965787,-1.0754241031523115
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,Weather,720,0.3130578139237586,0.3131884754757925,0.04171978289922995
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTm1,96,0.3487971045006524,0.2994611426649703,-16.47491270374197
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTm1,192,0.38779916474590553,0.334184653116503,-16.043379350131758
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTm1,336,0.4262716285891783,0.36951855166463415,-15.35865430000165
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTm1,720,0.5031864526965052,0.42512399331748507,-18.362280324348255
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTh1,96,0.6926750958472709,0.3509856992223176,-97.35137282859041
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTh1,192,0.6844134228163549,0.37910823880762673,-80.53245821535708
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTh1,336,0.6728644461903599,0.39627654645834043,-69.79668673404483
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTh1,720,0.7136580576158126,0.4507494736566982,-58.32698634704385
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTh2,96,0.27866008547169546,0.24983264843058559,-11.538698893919541
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTh2,192,0.31493473078561707,0.2958299766270798,-6.458018344307437
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTh2,336,0.34333873598542186,0.3310394350601135,-3.7153582391399764
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTh2,720,0.4105088285661169,0.4078151409340033,-0.6605168277824092
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTm2,96,0.17304287737859902,0.1605039196779414,-7.812243916421258
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTm2,192,0.23254646342731775,0.21602283737936925,-7.649018154006781
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTm2,336,0.2873642296411532,0.2690956045141507,-6.788897633607327
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mse,ETTm2,720,0.3694881450061676,0.3462208227387642,-6.720370566781142
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,Weather,96,0.1916156874860743,0.18438960205468713,-3.9189224071561446
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,Weather,192,0.23188150610588884,0.2280999502182137,-1.657850378335235
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,Weather,336,0.27286576569004006,0.27018024772813654,-0.9939727217238126
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,Weather,720,0.3220964248842008,0.3207682665945581,-0.41405538763017447
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTm1,96,0.38647517707792295,0.34203874721070576,-12.991636248697592
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTm1,192,0.407210946056066,0.36202032865348255,-12.482894971856373
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTm1,336,0.42721043484146126,0.3806995963930314,-12.217201932731347
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTm1,720,0.46187417960577504,0.4098066201129597,-12.705397359970249
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTh1,96,0.5361332729119247,0.38960701082225563,-37.60873342100008
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTh1,192,0.5406139825788677,0.40770071949991676,-32.60069377409527
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTh1,336,0.5461057623897121,0.42300993293318434,-29.09998557314517
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTh1,720,0.5813984967631388,0.4663606224929141,-24.66714999548929
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTh2,96,0.34741974372175727,0.3234752123656691,-7.402277034142668
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTh2,192,0.37314921834879233,0.35614590923858674,-4.774253660966488
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTh2,336,0.39601546023338136,0.3847696920810768,-2.922727123199431
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTh2,720,0.4427253235342772,0.43823347573559973,-1.0249896567435135
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTm2,96,0.25930802172641,0.24632080003509715,-5.272482749918939
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTm2,192,0.29852491197414394,0.284143666322322,-5.061258566118587
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTm2,336,0.33427349542036827,0.3203761606382221,-4.337818005703431
capacity_fcmi_vs_dense_dual,matched_mechanism_attribution,mae,ETTm2,720,0.3914023432158329,0.37448720542578506,-4.516880028201675
source_fcmi_vs_standard_query,source_family_context,mse,Weather,96,0.1538336327509359,0.15433124856947453,0.32243361156676364
source_fcmi_vs_standard_query,source_family_context,mse,Weather,192,0.19342007852230328,0.19317316321903844,-0.1278207071573778
source_fcmi_vs_standard_query,source_family_context,mse,Weather,336,0.2431521033024491,0.24271124351481402,-0.18163962297370606
source_fcmi_vs_standard_query,source_family_context,mse,Weather,720,0.3130578139237586,0.3105498209312087,-0.8075976295943255
source_fcmi_vs_standard_query,source_family_context,mse,ETTm1,96,0.3487971045006524,0.38349481086041654,9.047764240125101
