dataset,reference,target_horizon,pcc_mse,reference_mse,pcc_mse_gain_percent,pcc_mae_gain_percent
ETTh1,a6,59,0.7074410392571304,0.7106076175883665,0.44561559049742794,-1.1458854004337882
ETTh1,a6,60,0.711053924014171,0.7143128683169683,0.45623485832977373,-1.1390758582189076
ETTh1,a6,61,0.7159672098570182,0.7175079408239146,0.21473364672830453,-1.3054513845032423
ETTh1,a6,62,0.7196165402570078,0.7201126054410012,0.0688871685129766,-1.3944967378903383
ETTh1,a6,63,0.7251265089190195,0.7234712299846467,-0.2287967877323771,-1.582610880926416
ETTh1,a6,64,0.7291923577431589,0.7265575043857098,-0.3626489770657493,-1.6370156209290165
ETTh1,a6,65,0.7324848021452244,0.7295486330986023,-0.4024637856082869,-1.6595295637014562
ETTh1,a6,66,0.7369063525940432,0.7328106652606617,-0.5589011633618357,-1.763929438651246
ETTh1,a6,67,0.7396979449845072,0.7358894846332606,-0.5175315629281751,-1.7260025770816645
ETTh1,a6,68,0.7433051837279516,0.7389974506462321,-0.5829158243986443,-1.7614714040337986
ETTh1,a6,69,0.7462906986474991,0.7422471227853195,-0.5447748786153506,-1.719158979736224
ETTh1,a6,70,0.7486163907817431,0.7449846429484231,-0.4874929795796401,-1.6916416471735918
ETTh1,a6,71,0.751233276556915,0.7482677320359459,-0.39632131575422225,-1.6330425458919162
ETTh1,a6,72,0.7541040598104397,0.7509698536660936,-0.4173544555810649,-1.6209516006810087
ETTh1,a6,73,0.7569133388261272,0.7541697686665678,-0.36378681214048747,-1.5766997332908872
ETTh1,a6,74,0.7601802745783651,0.7569564685628221,-0.42589054317270225,-1.5943113973662104
ETTh1,a6,75,0.7629636051257451,0.7602687319119771,-0.3544632444623552,-1.5315184870441811
ETTh1,a6,76,0.7656673540018106,0.7635780831700877,-0.27361587213832195,-1.4774464479002658
ETTh1,a6,77,0.7686315660739874,0.7667035924923884,-0.25146270351121824,-1.4648013475351496
ETTh1,a6,78,0.7709806769704207,0.769537995258967,-0.18747374663004024,-1.424345141762129
ETTh1,a6,79,0.774283462876006,0.7724714935580387,-0.23456779092536628,-1.4663088928840828
