system,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,checkpoint_repetitions,system_role
PatchTST,ETTh2,96,0.2737291395203343,0.3380427825383483,0.274,0.338,normal,second,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTh2,96,0.3219902483114497,0.38153110657911904,0.322,0.382,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ETTh2,192,0.28245514440266534,0.34509201304952075,0.282,0.345,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ETTh2,192,0.36354191112332046,0.3912404705770314,0.364,0.391,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTh2,192,0.33358341455459595,0.38245055079460144,0.334,0.382,second,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTh2,192,0.37352919578552246,0.4045051038265228,0.374,0.405,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTh2,192,0.3582743305785358,0.38836618013347896,0.358,0.388,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTh2,192,0.38481327106802277,0.4006987046954273,0.385,0.401,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ETTh2,192,0.33575051091082253,0.3792769861895981,0.336,0.379,normal,second,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTh2,192,0.3665346716659934,0.40830364373660716,0.367,0.408,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ETTh2,336,0.3122683312867567,0.3711865635745016,0.312,0.371,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ETTh2,336,0.40312033947113723,0.4160206120106436,0.403,0.416,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTh2,336,0.3576340079307556,0.40410786867141724,0.358,0.404,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTh2,336,0.37890109419822693,0.42096009850502014,0.379,0.421,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTh2,336,0.36731860885200635,0.4038181004345625,0.367,0.404,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTh2,336,0.42361760909251484,0.4334329389672345,0.424,0.433,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ETTh2,336,0.3249296809364453,0.38253561923493506,0.325,0.383,second,second,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTh2,336,0.3853026592179365,0.4248351392504992,0.385,0.425,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ETTh2,720,0.39405488596768706,0.42976343582293,0.394,0.430,second,second,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ETTh2,720,0.4059744637666477,0.43642706974513,0.406,0.436,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTh2,720,0.40693315863609314,0.43962326645851135,0.407,0.440,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTh2,720,0.44193533062934875,0.4665042757987976,0.442,0.467,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTh2,720,0.41443220475293713,0.4364249857033586,0.414,0.436,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTh2,720,0.42967171498841433,0.44647563936350315,0.430,0.446,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ETTh2,720,0.3782814496619074,0.42092310585845294,0.378,0.421,best,best,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTh2,720,0.5843532290643734,0.543314874418708,0.584,0.543,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ETTh2,Avg.,0.307331952101977,0.36511569091552243,0.307,0.365,best,best,1,four_horizon_arithmetic_mean
TimeAlign,ETTh2,Avg.,0.3665533731654582,0.39768086315746165,0.367,0.398,normal,normal,1,four_horizon_arithmetic_mean
QDF,ETTh2,Avg.,0.3425908386707306,0.39165809750556946,0.343,0.392,normal,normal,1,four_horizon_arithmetic_mean
AMD,ETTh2,Avg.,0.36976613849401474,0.41073986887931824,0.370,0.411,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,ETTh2,Avg.,0.35636366150535104,0.393075336212724,0.356,0.393,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,ETTh2,Avg.,0.3852407710779199,0.40827758069807063,0.385,0.408,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,ETTh2,Avg.,0.32817269525737736,0.3801946234553336,0.328,0.380,second,second,1,four_horizon_arithmetic_mean
DLinear,ETTh2,Avg.,0.4145452020649382,0.4394961909962333,0.415,0.439,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,Weather,96,0.1410607618772622,0.18159428257633217,0.141,0.182,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,Weather,96,0.14278096053749323,0.18288087899175784,0.143,0.183,second,second,1,source_native_H720_model_on_official_fixed_H_loader
QDF,Weather,96,0.19126012921333313,0.24560533463954926,0.191,0.246,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,Weather,96,0.14944301545619965,0.2039853185415268,0.149,0.204,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,Weather,96,0.17685413931149707,0.22243403278653237,0.177,0.222,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,Weather,96,0.17942855262593624,0.22188502344827984,0.179,0.222,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,Weather,96,0.15511323672853386,0.20531351546963922,0.155,0.205,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,Weather,96,0.17696339894453295,0.24018213604013555,0.177,0.240,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,Weather,192,0.18213667199495437,0.22313626947867732,0.182,0.223,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,Weather,192,0.18521818625352657,0.2241914101759903,0.185,0.224,second,second,1,source_native_H720_model_on_official_fixed_H_loader
QDF,Weather,192,0.23127062618732452,0.2763713300228119,0.231,0.276,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,Weather,192,0.1940152943134308,0.24430035054683685,0.194,0.244,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,Weather,192,0.22096293679665377,0.259415021635677,0.221,0.259,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
