config,candidate_arm,baseline,comparison,dataset,target_horizon,status,candidate_mse,baseline_mse,relative_mse_pct,candidate_mae,baseline_mae,relative_mae_pct,candidate_wins_mse
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,ETTh2,336,ok,0.32313278317451477,0.31436556577682495,2.7888605980191494,0.3773425221443176,0.37210166454315186,1.4084477712832166,False
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,ETTh2,720,ok,0.4108887016773224,0.3950280547142029,4.015068492943996,0.4386098086833954,0.4309396743774414,1.779862649461239,False
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,ETTm1,96,ok,0.2753976285457611,0.27276551723480225,0.9649721627727148,0.33189406991004944,0.33084431290626526,0.3172963725937228,False
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,ETTm1,192,ok,0.31159165501594543,0.3091461658477783,0.7910462552433106,0.3535957932472229,0.35286661982536316,0.20664278820723414,False
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,ETTm1,336,ok,0.3496312201023102,0.34693026542663574,0.7785295619432198,0.37451478838920593,0.3737157881259918,0.21379890510397903,False
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,ETTm1,720,ok,0.40869757533073425,0.40836983919143677,0.08025473672257366,0.40536031126976013,0.4053221046924591,0.009426225922215536,False
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,Weather,96,ok,0.14160765707492828,0.14136819541454315,0.16938863772217871,0.18204940855503082,0.18159954249858856,0.24772422344938594,False
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,Weather,192,ok,0.18249107897281647,0.18240033090114594,0.04975214201761169,0.22331419587135315,0.22314205765724182,0.07714288194642371,False
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,Weather,336,ok,0.23199225962162018,0.2316502183675766,0.14765419020708048,0.2635729908943176,0.26356613636016846,0.002600688481391167,False
l120_r64,stbo_dct,a6_clean,l120_r64_stbo_dct_vs_a6_clean,Weather,720,ok,0.3040352463722229,0.3030458390712738,0.3264876706379649,0.3144686222076416,0.3143439292907715,0.03966767137875138,False
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,ETTh2,96,ok,0.24891254305839539,0.24645836651325226,0.9957773314265506,0.31958287954330444,0.3166827857494354,0.9157724778143139,False
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,ETTh2,192,ok,0.29091015458106995,0.2895892560482025,0.45612829387826626,0.3507513701915741,0.34915003180503845,0.4586390493098502,False
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,ETTh2,336,ok,0.32313278317451477,0.31766441464424133,1.7214293695432037,0.3773425221443176,0.3742789626121521,0.818523037144403,False
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,ETTh2,720,ok,0.4108887016773224,0.40071341395378113,2.5392930132144054,0.4386098086833954,0.43355804681777954,1.165186969240839,False
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,ETTm1,96,ok,0.2753976285457611,0.27536457777023315,0.012002551597434241,0.33189406991004944,0.332914263010025,-0.3064431937375045,False
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,ETTm1,192,ok,0.31159165501594543,0.31122976541519165,0.1162773105171988,0.3535957932472229,0.3546692728996277,-0.3026706101795784,False
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,ETTm1,336,ok,0.3496312201023102,0.34936174750328064,0.0771328289245643,0.37451478838920593,0.37587758898735046,-0.3625650046910289,False
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,ETTm1,720,ok,0.40869757533073425,0.4094070494174957,-0.17329308026593493,0.40536031126976013,0.407027930021286,-0.40970622125088285,True
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,Weather,96,ok,0.14160765707492828,0.14160892367362976,-0.0008944342408834238,0.18204940855503082,0.18197932839393616,0.03850995698970738,True
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,Weather,192,ok,0.18249107897281647,0.18256054818630219,-0.03805269768079045,0.22331419587135315,0.22340832650661469,-0.04213389748423113,True
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,Weather,336,ok,0.23199225962162018,0.2318556308746338,0.05892837127612349,0.2635729908943176,0.26390406489372253,-0.12545240617579667,False
l120_r64,stbo_dct,stbo_independent,l120_r64_stbo_dct_vs_stbo_independent,Weather,720,ok,0.3040352463722229,0.3036164939403534,0.13792150302340822,0.3144686222076416,0.31474044919013977,-0.08636544276326985,False
l120_r64,stbo_independent,a6_clean,l120_r64_stbo_independent_vs_a6_clean,ETTh2,96,ok,0.24645836651325226,0.24416223168373108,0.940413598650025,0.3166827857494354,0.31473836302757263,0.6177901871124769,False
