comparison,layer,metric,candidate,reference,dataset,horizon,gain_percent,candidate_value,reference_value
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTm2,192,-1.037502816589364,0.223133863148563,0.22084261479978565
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTm2,336,-0.16608741769812418,0.27428065274988755,0.27382586244596147
ordered_field_vs_categorical,matched_mechanism_attribution,mse,tsaf,siff_categorical_target_only,ETTm2,720,-0.5862696810624568,0.349078494270983,0.3470438812154345
ordered_field_vs_categorical,matched_mechanism_attribution,mae,tsaf,siff_categorical_target_only,Weather,96,0.38190888321568695,0.18419236973369532,0.18489851358199874
ordered_field_vs_categorical,matched_mechanism_attribution,mae,tsaf,siff_categorical_target_only,Weather,192,0.6774863437378875,0.22792029048207052,0.22947495194378878
ordered_field_vs_categorical,matched_mechanism_attribution,mae,tsaf,siff_categorical_target_only,Weather,336,0.5030404671692801,0.2708840045471525,0.27225355007734653
ordered_field_vs_categorical,matched_mechanism_attribution,mae,tsaf,siff_categorical_target_only,Weather,720,0.4446645906451496,0.3207312536878515,0.3221638020393968
ordered_field_vs_categorical,matched_mechanism_attribution,mae,tsaf,siff_categorical_target_only,ETTm1,96,0.29077096327294605,0.3361060951146954,0.3370862440335323
ordered_field_vs_categorical,matched_mechanism_attribution,mae,tsaf,siff_categorical_target_only,ETTm1,192,-0.13039740276319378,0.359119036807138,0.358651364742539
ordered_field_vs_categorical,matched_mechanism_attribution,mae,tsaf,siff_categorical_target_only,ETTm1,336,-0.49764155895952733,0.381483913047582,0.379594891113713
ordered_field_vs_categorical,matched_mechanism_attribution,mae,tsaf,siff_categorical_target_only,ETTm1,720,-0.2961504760233824,0.4109234255027314,0.4097100671884371
